completed: 95700, symbols: ZBH, ZION
bh: 1.067911, wave: 1.075411, delta: -0.007499

delta returns:
ADSK, AMZN, -0.522725
 DHR,   MU, -0.521941
ADBE, QRVO, -0.521338
 THC,  XEL, -0.520279
AMAT, AMZN, -0.519831
MSFT, NVDA, -0.518730
ABBV,  THC, -0.518150
 RSG,  THC, -0.517290
FSLR, KLAC, -0.517244
 DHI,   MU, -0.515344
 THC,   WM, -0.515200
 PHM,  URI, -0.514745
FSLR,  NKE, -0.513500
LRCX,  NRG, -0.512100
 RHI,  THC, -0.511216
 DHI, NVDA, -0.510982
 BBY, FSLR, -0.510200
AMAT,  NRG, -0.509652
 CMG,  NRG, -0.508042
KLAC,   MA, -0.507582
 CRM, KLAC, -0.507471
 AIZ,  THC, -0.507101
QCOM,  URI, -0.506971
 NRG, QRVO, -0.506145
FSLR,  ZTS, -0.505771
 DHI, QRVO, -0.505754
ADSK,  NRG, -0.504566
FSLR,  MCO, -0.503488
FSLR, QCOM, -0.502802
  DE, NFLX, -0.502455
ADBE, AMZN, -0.502052
FSLR, SWKS, -0.501555
 SYY,  THC, -0.501020
AMZN, QRVO, -0.500552
FSLR,  SHW, -0.499846
 CMG,  CRM, -0.499810
AMAT,  CRM, -0.499550
 ABC,  THC, -0.499460
 TGT,  URI, -0.497589
 THC,  WEC, -0.497574
 NRG,  URI, -0.497493
JBHT,  THC, -0.497368
 BDX,  THC, -0.496861
 LLY, NVDA, -0.496785
  MU,  PKI, -0.496734
AMAT,  DHI, -0.496221
ADBE, LRCX, -0.495776
 CRM, QRVO, -0.494836
MSFT, QCOM, -0.494564
  MU,  TGT, -0.494450
 AES,   MU, -0.494187
 LOW, QCOM, -0.493703
  MU,  NRG, -0.492234
  EL, FSLR, -0.491174
 DHI, LRCX, -0.490676
  MU,  PGR, -0.490057
ADSK,  CRM, -0.489755
FFIV,  THC, -0.487997
FSLR, GRMN, -0.487408
  DG, FSLR, -0.486461
 PNC,  THC, -0.486399
REGN,  THC, -0.485674
KLAC,  PHM, -0.485381
ADSK,  DHI, -0.485197
  RF,  THC, -0.485146
   A, FSLR, -0.484904
  PG,  THC, -0.484704
SWKS,  URI, -0.483558
CSCO,  THC, -0.482399
 DHI, VRTX, -0.482389
 CRM,  URI, -0.481713
 AEE,  THC, -0.480767
 KSU,  URI, -0.480345
 AES, QCOM, -0.479835
KLAC, MSFT, -0.479749
 NRG, VRTX, -0.479727
FSLR,  PGR, -0.479378
 BAC,  THC, -0.479364
 LOW,   MU, -0.477862
 BBY,  URI, -0.477851
  MA, NFLX, -0.476295
 PKI, QCOM, -0.475950
SBUX,  THC, -0.475595
  MU, SWKS, -0.474718
 SWK,  THC, -0.474005
KLAC,  URI, -0.473771
 NOC,  THC, -0.473561
 CMG,  DHI, -0.473439
 DHR, QCOM, -0.472817
AMZN, LRCX, -0.471979
CTSH,  THC, -0.471282
ORCL,  THC, -0.470989
 CSX, FSLR, -0.470350
DISC,  THC, -0.469883
 ETN, NFLX, -0.469639
NFLX, XLNX, -0.469626
  EL, LRCX, -0.469074
 HUM, QCOM, -0.468981
ETFC,  THC, -0.467629
FSLR,  TXN, -0.467480
NVDA,  ZTS, -0.466460
CTAS,  URI, -0.466243
 KSU,   MU, -0.463399
ADBE, VRTX, -0.462760
 KMX, QCOM, -0.462539
INTU,  URI, -0.462515
CTAS,   MU, -0.461715
 BBY,  PHM, -0.459172
QRVO,  TGT, -0.459161
AMAT, INTU, -0.458412
 PHM, QRVO, -0.457931
  DE, QCOM, -0.457191
  MU, XLNX, -0.456899
 CMG,  TMO, -0.456650
INTU,   MU, -0.456133
 FDX,  THC, -0.456065
INTU, QRVO, -0.455401
 NKE,  URI, -0.454971
 ADI, QCOM, -0.454466
 MDT,  THC, -0.453001
  MA,  PHM, -0.452520
AMAT,  TMO, -0.451419
  EL, KLAC, -0.451340
ADBE,  URI, -0.450733
 THC,  WAT, -0.450452
FSLR,  LOW, -0.449839
 AME, QCOM, -0.449835
 MCO,  URI, -0.449345
QRVO,  TMO, -0.448420
INTU, LRCX, -0.447962
ADSK,  TMO, -0.447224
ADSK, INTU, -0.447150
QCOM,  UNH, -0.446848
AMZN, VRTX, -0.446755
 CMG, INTU, -0.445617
  MA,  THC, -0.445536
GRMN,   MU, -0.445468
QCOM, XLNX, -0.445361
 TGT, VRTX, -0.445095
AMZN,  URI, -0.444961
 SHW,  URI, -0.444556
 LLY,   MU, -0.444133
ADBE,  NRG, -0.444065
MCHP, NFLX, -0.443826
AMAT,  PHM, -0.443820
LRCX,  PHM, -0.443190
 CRM, VRTX, -0.442543
 THC,  UPS, -0.442514
 AVY, QCOM, -0.442492
 NSC, QCOM, -0.442361
 MCO,   MU, -0.442360
 LLY,  URI, -0.441613
FITB,  THC, -0.441473
 DHR, FSLR, -0.441121
 AMP,  URI, -0.441034
 CME,  THC, -0.441018
 JNJ,  THC, -0.440876
 DHI,  NRG, -0.440787
ADBE,   MU, -0.440776
 GLW,  THC, -0.440411
  MU,  NKE, -0.440186
 CSX,  URI, -0.439802
 PHM, VRTX, -0.439490
QCOM,  STX, -0.439094
 CSX,   MU, -0.438914
 CRM,  PHM, -0.437916
EXPE,  THC, -0.437843
LRCX,  TGT, -0.437793
 TMO,  URI, -0.437739
QCOM, WYNN, -0.436978
 COF,  THC, -0.436921
 PGR, QCOM, -0.436525
 CMS,  THC, -0.436252
 KSU, QRVO, -0.436228
  MU,  TXN, -0.435956
  MU,  SHW, -0.435879
 DGX,  THC, -0.435363
 AMP,   MU, -0.435316
FSLR, GOOG, -0.435195
  DG,  URI, -0.435109
 HES,  THC, -0.434811
AMZN,   MU, -0.434790
 AMP, FSLR, -0.434228
 NEM, QCOM, -0.433703
  EL,  URI, -0.433696
  FB, QCOM, -0.432932
GRMN,  URI, -0.432645
CHRW,  THC, -0.432152
   A,  URI, -0.431831
 PEG,  THC, -0.431447
CTAS, LRCX, -0.431181
CTAS, QRVO, -0.430618
FSLR, VRSN, -0.430608
QCOM,  WAT, -0.430540
 CAT, FSLR, -0.430523
ADSK,  TGT, -0.430163
FSLR,  ROP, -0.429598
AMAT,  TGT, -0.429469
 LOW,  URI, -0.428982
 MCK,  THC, -0.428523
 TXN,  URI, -0.428301
 LMT,  THC, -0.428293
FSLR, GOOG, -0.427433
MSFT,  URI, -0.426973
  MU,  TMO, -0.426250
INTU, VRTX, -0.426009
 LLY, QRVO, -0.425888
  PH,  URI, -0.425836
  DG,   MU, -0.425043
  IR, WYNN, -0.424897
 GPS,  THC, -0.424630
 DHI,  PHM, -0.424508
 CAT,   MU, -0.423931
FSLR,   PH, -0.423729
FSLR,  NEM, -0.423591
 CAT,  URI, -0.423027
AMAT,  KSU, -0.422652
AMAT, CTAS, -0.422278
LRCX,  TMO, -0.422262
 URI,  ZTS, -0.421812
MSFT, QRVO, -0.421654
ADBE,  CRM, -0.421575
ADSK,  PHM, -0.420905
AMAT, MSFT, -0.420495
 THC,  WHR, -0.420459
 ETR,  THC, -0.420180
AMZN,  NRG, -0.419640
  MU,   PH, -0.419601
NVDA,  TGT, -0.419480
 EFX,  THC, -0.419426
   A,   MU, -0.418782
AMAT,  LLY, -0.418781
 BBY, KLAC, -0.418670
NTAP,  URI, -0.418349
FSLR, TSCO, -0.418326
FSLR,  PWR, -0.417693
  MU,  NSC, -0.417648
  MU, NTAP, -0.417631
ADSK, MSFT, -0.416845
ADSK,  LLY, -0.416799
 NEM,  URI, -0.416569
 NKE, QRVO, -0.416164
 LLY, LRCX, -0.416131
 KSU, LRCX, -0.415575
KLAC, QRVO, -0.415448
TSCO,  URI, -0.415337
 ROK,  URI, -0.414880
 KSU, VRTX, -0.414617
LRCX,  MCO, -0.414473
 LLY, VRTX, -0.413585
 PWR,  URI, -0.413265
QCOM, VRTX, -0.412732
QRVO, SWKS, -0.412629
 AES,  PHM, -0.412618
 ROP,  URI, -0.412296
PAYX,  THC, -0.412139
CTAS, NVDA, -0.412052
LRCX, SWKS, -0.411968
GOOG,  URI, -0.411904
 ADI,   MU, -0.411364
 CRM,   MA, -0.411209
FSLR,  ROK, -0.411165
KLAC, VRTX, -0.410807
  MU,  ZTS, -0.410400
QCOM, QRVO, -0.410072
GOOG,  URI, -0.410036
 URI, VRSN, -0.409497
 HUM,  URI, -0.409419
 PGR,  URI, -0.409359
 BBY, QRVO, -0.408935
 CRM,  NRG, -0.408835
 MCO, QRVO, -0.408701
  HD, QCOM, -0.408687
EQIX, FSLR, -0.408537
 BBY, VRTX, -0.408228
 ABT,  THC, -0.408110
QRVO,  ZTS, -0.407951
 TMO, VRTX, -0.407820
FSLR, NTAP, -0.407668
 HPQ,  THC, -0.407662
 DVA,  THC, -0.407471
LRCX,  NKE, -0.407395
AMAT,  ZTS, -0.407288
  MU,  ROK, -0.407272
FSLR,  HUM, -0.407031
QRVO,  SHW, -0.406971
FSLR, TROW, -0.406847
 STX, WYNN, -0.406611
NFLX, QCOM, -0.406557
  EL,  PHM, -0.406519
AMAT,  MCO, -0.405987
ADSK,  KSU, -0.405909
